State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2016,August,Number of Deaths,4276,,100,0.023386342376052,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,4256,,100,0.046992481203008,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Deaths,4291,,100,0.069913773013284,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,4289,,100,0.069946374446258,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,4355,,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,4374,,100,0.068587105624143,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,4347,,100,0.069013112491373,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,4359,,100,0.068823124569856,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,4325,,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,4277,,100,0.070142623334113,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,4276,,100,0.070159027128157,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,4236,,100,0.070821529745042,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,4234,,100,0.04723665564478,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Deaths,4299,,100,0.023261223540358,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,4283,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,4308,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,4279,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,4260,,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,4304,,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Deaths,4286,,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Deaths,4341,,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Deaths,4350,,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Deaths,4304,,100,0,Underreported due to incomplete data.
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Drug Overdose Deaths,138,140,100,0.023386342376052,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481203008,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Drug Overdose Deaths,131,134,100,0.069913773013284,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Drug Overdose Deaths,133,136,100,0.069946374446258,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Drug Overdose Deaths,126,128,100,0.068587105624143,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069013112491373,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068823124569856,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,100,0.070142623334113,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,100,0.070159027128157,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Drug Overdose Deaths,128,130,100,0.070821529745042,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Drug Overdose Deaths,137,139,100,0.04723665564478,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Drug Overdose Deaths,148,150,100,0.023261223540358,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Drug Overdose Deaths,144,145,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Drug Overdose Deaths,141,142,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Drug Overdose Deaths,135,135,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Drug Overdose Deaths,141,141,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Drug Overdose Deaths,125,125,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Drug Overdose Deaths,124,125,100,0,Underreported due to incomplete data.
AL,AL,2015,January,Number of Deaths,49543,,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Deaths,50004,,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Deaths,50486,,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Deaths,50565,,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Deaths,50516,,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Deaths,50658,,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Deaths,50841,,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Deaths,50930,,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Deaths,51044,,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Deaths,51091,,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Deaths,51093,,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Deaths,50870,,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Deaths,50534,,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Deaths,50555,,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Deaths,50348,,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Deaths,50391,,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Deaths,50511,,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Deaths,50613,,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Deaths,50683,,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Deaths,50756,,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Deaths,50810,,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Deaths,50869,,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Deaths,51110,,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Deaths,51431,,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Deaths,51652,,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Deaths,51542,,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Deaths,51668,,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Deaths,51794,,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Deaths,51943,,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Deaths,52000,,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Deaths,52035,,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Deaths,52075,,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Deaths,52232,,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Deaths,52267,,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Deaths,52254,,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Deaths,52307,,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Deaths,53105,,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Deaths,53269,,100,0.161444742720907,Underreported due to incomplete data.
AL,AL,2018,March,Number of Deaths,53219,,100,0.1691125349969,Underreported due to incomplete data.
AL,AL,2018,April,Number of Deaths,53234,,100,0.180335875568246,Underreported due to incomplete data.
AL,AL,2018,May,Number of Deaths,53266,,100,0.206510719783727,Underreported due to incomplete data.
AL,AL,2018,June,Number of Deaths,53344,,100,0.219331133773245,Underreported due to incomplete data.
AL,AL,2015,January,Number of Drug Overdose Deaths,715,761,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Drug Overdose Deaths,733,776,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Drug Overdose Deaths,725,766,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Drug Overdose Deaths,676,712,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Drug Overdose Deaths,654,690,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Drug Overdose Deaths,763,801,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Drug Overdose Deaths,759,797,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Drug Overdose Deaths,794,833,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Drug Overdose Deaths,795,831,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Drug Overdose Deaths,812,846,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Drug Overdose Deaths,804,836,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Drug Overdose Deaths,809,839,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Drug Overdose Deaths,808,837,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Drug Overdose Deaths,800,828,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Drug Overdose Deaths,801,826,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Drug Overdose Deaths,799,825,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Drug Overdose Deaths,807,830,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Drug Overdose Deaths,786,803,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Drug Overdose Deaths,797,819,100,0.161444742720907,Underreported due to incomplete data.
AL,AL,2018,March,Number of Drug Overdose Deaths,782,805,100,0.1691125349969,Underreported due to incomplete data.
AL,AL,2018,April,Number of Drug Overdose Deaths,780,805,100,0.180335875568246,Underreported due to incomplete data.
AL,AL,2018,May,Number of Drug Overdose Deaths,783,811,100,0.206510719783727,Underreported due to incomplete data.
AL,AL,2018,June,Number of Drug Overdose Deaths,760,792,100,0.219331133773245,Underreported due to incomplete data.
AR,AR,2015,January,Number of Deaths,30122,,100,0.049797490206494,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Deaths,30332,,100,0.046155874983516,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Deaths,30387,,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Deaths,30444,,100,0.039416633819472,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Deaths,30602,,100,0.042480883602379,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Deaths,30722,,100,0.042314953453551,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Deaths,30685,,100,0.04888381945576,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Deaths,30884,,100,0.04856883823339,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,September,Number of Deaths,30931,,100,0.061427047298826,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,October,Number of Deaths,31015,,100,0.058036433983556,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,November,Number of Deaths,31007,,100,0.061276485954784,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,December,Number of Deaths,30986,,100,0.070999806364164,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,January,Number of Deaths,30624,,100,0.07183908045977,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,February,Number of Deaths,30413,,100,0.072337487258738,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,March,Number of Deaths,30421,,100,0.075605667137832,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,April,Number of Deaths,30489,,100,0.07871691429696,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,May,Number of Deaths,30361,,100,0.079048779684464,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,June,Number of Deaths,30434,,100,0.078859170664388,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,July,Number of Deaths,30590,,100,0.075187969924812,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,August,Number of Deaths,30488,,100,0.078719496195224,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,September,Number of Deaths,30540,,100,0.068762278978389,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,October,Number of Deaths,30489,,100,0.07543704286792,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,November,Number of Deaths,30697,,100,0.074925888523308,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,December,Number of Deaths,31028,,100,0.070903699883976,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,January,Number of Deaths,31113,,100,0.073924083180664,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,February,Number of Deaths,31156,,100,0.083451020670176,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,March,Number of Deaths,31309,,100,0.0766552748411,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,April,Number of Deaths,31382,,100,0.076476961315404,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,May,Number of Deaths,31496,,100,0.079375158750318,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,June,Number of Deaths,31555,,100,0.076057677071779,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,July,Number of Deaths,31550,,100,0.076069730586371,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,August,Number of Deaths,31596,,100,0.069629066970503,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,September,Number of Deaths,31718,,100,0.072514029888392,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,October,Number of Deaths,31724,,100,0.069348127600555,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,November,Number of Deaths,31654,,100,0.075819801604852,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,December,Number of Deaths,31823,,100,0.056562863337837,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2018,January,Number of Deaths,32293,,100,0.055739633976404,Underreported due to incomplete data.
AR,AR,2018,February,Number of Deaths,32397,,100,0.052473994505664,Underreported due to incomplete data.
AR,AR,2018,March,Number of Deaths,32197,,100,0.065223468024971,Underreported due to incomplete data.
AR,AR,2018,April,Number of Deaths,32052,,100,0.065518532384875,Underreported due to incomplete data.
AR,AR,2018,May,Number of Deaths,32107,,100,0.062291712087707,Underreported due to incomplete data.
AR,AR,2018,June,Number of Deaths,32065,,100,0.07172929985966,Underreported due to incomplete data.
AR,AR,2015,January,Number of Drug Overdose Deaths,366,371,100,0.049797490206494,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Drug Overdose Deaths,366,371,100,0.046155874983516,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Drug Overdose Deaths,373,377,100,0.039416633819472,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Drug Overdose Deaths,383,388,100,0.042480883602379,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Drug Overdose Deaths,391,396,100,0.042314953453551,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Drug Overdose Deaths,395,400,100,0.04888381945576,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Drug Overdose Deaths,398,403,100,0.04856883823339,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,September,Number of Drug Overdose Deaths,392,398,100,0.061427047298826,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,October,Number of Drug Overdose Deaths,397,403,100,0.058036433983556,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,November,Number of Drug Overdose Deaths,389,395,100,0.061276485954784,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,December,Number of Drug Overdose Deaths,381,387,100,0.070999806364164,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,January,Number of Drug Overdose Deaths,378,384,100,0.07183908045977,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487258738,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,March,Number of Drug Overdose Deaths,363,369,100,0.075605667137832,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,April,Number of Drug Overdose Deaths,372,379,100,0.07871691429696,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,May,Number of Drug Overdose Deaths,376,383,100,0.079048779684464,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,June,Number of Drug Overdose Deaths,369,376,100,0.078859170664388,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,July,Number of Drug Overdose Deaths,378,385,100,0.075187969924812,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,August,Number of Drug Overdose Deaths,383,390,100,0.078719496195224,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762278978389,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,October,Number of Drug Overdose Deaths,372,379,100,0.07543704286792,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,November,Number of Drug Overdose Deaths,378,385,100,0.074925888523308,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,December,Number of Drug Overdose Deaths,386,393,100,0.070903699883976,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,January,Number of Drug Overdose Deaths,384,391,100,0.073924083180664,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,February,Number of Drug Overdose Deaths,380,387,100,0.083451020670176,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,March,Number of Drug Overdose Deaths,384,391,100,0.0766552748411,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,April,Number of Drug Overdose Deaths,386,393,100,0.076476961315404,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,May,Number of Drug Overdose Deaths,383,390,100,0.079375158750318,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,June,Number of Drug Overdose Deaths,398,405,100,0.076057677071779,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,July,Number of Drug Overdose Deaths,395,402,100,0.076069730586371,Numbers may differ from published reports using final data. See Technical Notes.
